"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"S2B-PH-SM4-TB";;;
2;"R29,R6";"R_0402_1005Metric";2;"10k";;;
3;"C7,C8";"C_0402_1005Metric";2;"DNI";;;
4;"D1";"D_0402_1005Metric";1;"SBR0240LPW-7B";;;
5;"C10,C4,C3,C9,C2,C15,C6";"C_0402_1005Metric";7;"1uF";;;
6;"R17,R9,R16,R8,R18,R21,R19,R7,R5,R4,R3,R2,R1,R24";"R_0402_1005Metric";14;"100k";;;
7;"U5";"SOT-23-5";1;"MCP73831T-2DCI/OT";;;
8;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"GCT USB4105";;;
9;"R23";"R_0402_1005Metric";1;"294";;;
10;"TP1,TP2";"TestPoint_THTPad_1.0x1.0mm_Drill0.5mm";2;"TestPoint";;;
11;"C13,C14,C16";"C_0805_2012Metric";3;"47uF";;;
12;"U3";"MSOP-8_3x3mm_P0.65mm";1;"ADC081C021CIMM";;;
13;"J2";"Hirose_FH12-8S-0.5SH_1x08-1MP_P0.50mm_Horizontal";1;"FH12-8S-0.5SH";;;
14;"CON1,CON3,CON2,CON4";"FH1212S05SVA54";4;"FH12-12S-0.5SVA_54_";;;
15;"C12,C11,C1";"C_0402_1005Metric";3;"0.1uF";;;
16;"U1";"DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm";1;"74HC4051BQ";;;
17;"R26";"R_0402_1005Metric";1;"130";;;
18;"R10,R11";"R_0402_1005Metric";2;"5.1k";;;
19;"SW1,SW2";"SW_SPST_ALPS_SKSCLDE010";2;"SW_SPST_ALPS_SKSCLDE010";;;
20;"C5";"C_0603_1608Metric";1;"4.7uF";;;
21;"U6";"SOT-583-8";1;"TPS2116DRL";;;
22;"R14,R12,R13,R15";"R_0402_1005Metric";4;"280k";;;
23;"Y1";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"Crystal";;;
24;"D5";"LED_Kingbright_APA1606_1.6x0.6mm_Horizontal";1;"IN-S85CS5Y Yellow";;;
25;"R22";"R_0402_1005Metric";1;"560k";;;
26;"R25";"R_0402_1005Metric";1;"39";;;
27;"R28";"R_0402_1005Metric";1;"150";;;
28;"R20";"R_0402_1005Metric";1;"2.0k";;;
29;"Q1";"SOT-23";1;"BSS123";;;
30;"U7";"VREG_RT6154AGQW";1;"RT6154AGQW";;;
31;"L1";"IND_NRS4018T2R2MDGJ";1;"2.2uH 7.7A";;;
32;"D2";"SOT-143";1;"PRTR5V0U2X";;;
33;"R27";"R_0402_1005Metric";1;"30";;;
34;"U4";"XCVR_NORA-B106-00B";1;"NORA-B106-00B";;;
35;"D3";"LED_0402_1005Metric";1;"A-SP136R6C-C01-3T RED";;;
36;"D4";"LED_RGB_Everlight_EASV3015RGBA0_Horizontal";1;"EASV3015RGBA0";;;
37;"U2";"Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm";1;"PCA9557BS";;;
