Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, R15, R19, R22, R27",0402,6,DNI,
"C10, C5, C9",0805,3,47uF,C16780
"C11, C12, C13, C14, C15, C4, C6",0402,7,1uF,C52923
"C16, C3, C8",0402,3,0.1uF,C1525
C7,0603,1,4.7uF,C19666
"CON1, CON2, CON3, CON4",ADAMTECH_PCB-C-12-T-SMT,4,PCB-C-12-T-SMT,C6142122
D1,SOT-143,1,PRTR5V0U2X,C5180302
D2,0402,1,RB161QS-40,C28646385
D4,LED_RGB_Everlight_EASV3015RGBA0_Horizontal,1,EASV3015RGBA0,C5221775
D5,LED_Kingbright_APA1606_1.6x0.6mm_Horizontal,1,IN-S85CS5Y Yellow,C6279638
D6,0402,1,A-SP136R6C-C01-3T RED,C5160702
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,U262-161N-4BVC11,C319148
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SM04B-NSHSS-TB,C160404
J3,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-NSHSS-TB,C20528326
J4,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,S2B-PH-SM4-TB,C295747
L1,0603,1,10uH 80mA,C5383007
"L2, L3",0603,2,10uH 50mA,C86083
L4,IND_NRS4018T2R2MDGJ,1,2.2uH 7.7A,C92959
Q1,SOT-23,1,BSS123,C7420338
"R1, R2",0402,2,5.1k,C25905
"R10, R11, R17, R24, R29, R3, R30, R31, R32, R4, R5, R6, R7, R8",0402,14,100k,C25741
"R12, R23",0402,2,294,C477682
R13,0402,1,80.6,C185392
R14,0402,1,100,C25076
R16,0402,1,560k,C132339
"R18, R20, R25, R28",0402,4,280k,C364982
R21,0402,1,2.0k,C4109
R26,0402,1,150,C25082
"R33, R34",0402,2,10k,C25744
R9,0402,1,2.2,C22356152
"SW1, SW2",SW_SPST_ALPS_SKSCLDE010,2,SW_SPST_ALPS_SKSCLDE010,C115362
"TP1, TP2",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,2,TestPoint,
U1,MDBT531M,1,MDBT53-1MV2,C5355663
U2,MSOP-8_3x3mm_P0.65mm,1,ADC081C021CIMM,C206013
U3,HVQFN-16-1EP_3x3mm_P0.5mm_EP1.5x1.5mm,1,PCA9557BS,C2669728
U4,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,1,74HC4051BQ,C128429
U5,VREG_RT6154AGQW,1,RT6154AGQW,C250400
U6,SOT-23-5,1,MCP73831T-2DCI/OT,C625597
U7,SOT-583-8,1,TPS2116DRL,C3235557
Y1,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,Crystal,C510776
