Designator,Mid X,Mid Y,Rotation,Layer
C10,39.37,7.6,270.0,top
C11,24.65,23.1,90.0,top
C12,15.1,7.1,0.0,top
C13,20.4,14.25,90.0,top
C14,39.8,25.7,90.0,top
C15,43.5,25.65,90.0,top
C16,37.4,6.05,180.0,top
C3,37.8,15.3,180.0,top
C4,38.9,23.2,270.0,top
C5,39.92,15.351,90.0,top
C6,38.2,21.75,0.0,top
C7,33.875,13.075,0.0,top
C8,36.0,11.6,90.0,top
C9,36.6268,8.3,180.0,top
CON1,2.59,20.6,270.0,top
CON2,7.59,20.6,270.0,top
CON3,12.59,20.6,270.0,top
CON4,17.59,20.6,270.0,top
D1,39.85,19.5125,180.0,top
D2,39.4575,4.025,180.0,top
D4,8.205,1.1176,0.0,top
D5,18.875,0.85,180.0,top
D6,48.9175,12.55,0.0,top
J1,46.295,18.561,90.0,top
J2,34.036,3.302,0.0,top
J3,13.65,3.35,0.0,top
J4,25.375,5.1,180.0,top
L1,34.75,10.8,90.0,top
L2,37.45,19.75,90.0,top
L3,37.5,23.9,90.0,top
L4,44.1,10.9,270.0,top
Q1,32.9525,8.3453,180.0,top
R1,45.4152,6.8,180.0,top
R10,37.8,14.3,0.0,top
R11,37.8,16.3,0.0,top
R12,9.63,3.311,90.0,top
R13,7.35,3.321,90.0,top
R14,8.63,3.321,90.0,top
R16,41.3512,5.8,180.0,top
R17,41.3512,4.8,0.0,top
R18,5.842,23.876,90.0,top
R2,43.397,7.895,0.0,top
R20,10.033,23.749,90.0,top
R21,28.0,12.8,0.0,top
R23,45.4152,7.895,180.0,top
R24,37.8,17.3,0.0,top
R25,15.494,23.749,90.0,top
R26,28.0,11.7348,0.0,top
R28,18.542,23.749,90.0,top
R29,26.0,11.7348,0.0,top
R3,41.365,7.895,180.0,top
R30,26.0,12.8,0.0,top
R31,40.3,27.35,0.0,top
R32,42.4,27.35,0.0,top
R33,38.05,4.45,90.0,top
R34,39.45,5.025,0.0,top
R4,41.365,6.8,0.0,top
R5,43.3832,5.8,0.0,top
R6,43.3832,6.8,180.0,top
R7,40.4368,21.9456,180.0,top
R8,40.4368,22.9616,0.0,top
R9,33.35,11.35,270.0,top
SW1,40.8,1.65,0.0,top
SW2,48.45,9.1,90.0,top
U1,31.0,22.15,0.0,top
U2,18.95,4.6,180.0,top
U3,22.95,16.3,180.0,top
U4,22.05,21.6,0.0,top
U5,39.2,11.5,90.0,top
U6,22.9616,12.3585,180.0,top
U7,41.65,25.4125,0.0,top
Y1,30.625,12.6,180.0,top
